prompot,completion（内涵）
意识,意识，佛教及哲学术语，梵文manovijñāna，指诸识中的第六识。在二时教法里讲的是六个识：眼识、耳识、鼻识、舌识、身识、意识，只讲这六个识。三时教法讲唯识，而且强调这个识只有一个阿赖耶识，也译作藏识。把阿赖耶识分为八份，就是八识。分别是眼识、耳识、鼻识、舌识、身识、意识、末那识、阿赖耶识。阿赖耶识杂染种子现行是显现与分别。分别就是把生翳病的眼睛显现的似毛的影，误以为心外的毛的这个误以为，这个错误认识。意识就是这个分别的功能。
如来藏,如来藏，佛教核心术语，梵文tathāgatagarbha，这是一个复合词，由两个词组成，第一个词，tathāgata，意思是如来；第二个词是garbha，古译通常被译成“胎藏”，用现代汉语直译，就是女人的子宫。tathāgatagarbha，合起来直译就是“能孕育如来的子宫”。如来藏意指佛是由如来藏孕育降生的意思，由此可见如来藏法义在整个佛陀教法体系中的重要性。
不空如来藏,不空如来藏，佛陀三时教法核心术语。佛陀证悟的真正的真实性就是真如，真如就是不空如来藏。
空如来藏,空如来藏，佛陀三时教法核心术语。阿赖耶识是圣者能见的一分真实，有时也被表达为来藏藏识、空如来藏。空如来藏，不是说如来藏本身是空，而是佛陀安立如来藏是为了“空”。为了空掉什么而安立的如来藏叫空如来藏。佛陀说“空”，其实就是要空掉凡夫误以为存在而圣者认为根本不存在的事物，是为了“破增益”。
三时四有四无无障碍观,三时四有四无无障碍观，净名精舍术语，佛陀三时教法破增益的修法的口诀：只有相互依存，没有独立存在；只有相似相续，没有常一不变；只有能了别识，没有所分别境；只有一隐一现，没有真实显现。“只有相互依存，没有独立存在”，是指立足于圣者境界安立藏识缘起，其中了别识与分别事识，也就是杂染种子与现行的 kṛ相互依存，互为因果，它们都不能独立存在。只有相似相续，没有常一不变”，指的是阿赖耶识未现行的杂染种子，总是处于相续的生灭过程之中，不能常一不变。“只有能了别识，没有所分别境”，是指立足于圣者境界观凡夫境界，只是唯识，没有凡夫心识之外的事物。“只有一隐一现，没有真实显现”，一隐就是虚妄分别在阿赖耶识中熏习下杂染种子；一现，就是阿赖耶识杂染种子现行，但是只是现行了虚妄分别，并没有显现出凡夫心外事物的真实存在。
转识成智,转识成智，佛教术语，又名“转染成净”，就是从识转变为智。就是从凡夫能所分离的认知模式，转变为圣者的能所不分离的认知模式；从凡夫的分别的识转为圣者的无分别的智。转识成智从梵文的角度讲，就是从 vijñāna转变成jñāna 。就是去掉vi，去掉vijñāna那个词头vi ，去掉vi就是离分别，转识成智是佛陀三时教法修行的核心。
kṛ,kṛ，净名精舍术语，kṛ是梵文中的一个动词词根，指众生的行为。，是对人甚至是对一切动物的行为的一个最一般的表达。比如说：我们看见一座山，这个“看”就是一个kṛ；我们听见了雷声，这个“听”也是一个kṛ；我们闻到一股香气，这个“闻”也是一个kṛ；我们尝到这个醋很酸，这个“尝”也是个kṛ；我摸到桌子了，这个“摸”也是一个kṛ；想念母亲了，这个“想”也是一个kṛ。也就是kṛ这个动词是对众生的行为的最一般的表达。
见分,见分，佛教术语，，即见似相之见。阿赖耶识杂染种子现行时的显现，除了显现似相，同时还要显现“见似相之见”。如同生了翳病的眼睛，除了显现了似毛的影，同时一定还显现“见影之见”。虽然“似毛之影”和“见影之见”都是在心识中，是不分离的，但毕竟可以分为两个方面来表达。在唯识学中，有的宗派就给这两个方面还安立了名言，似毛之影叫“相分”，见影之见叫“见分”。
相分,相分，佛教术语，梵文ābhāsa，即似相，阿赖耶识种子现行时显现的“似外之相”。
不常不断,不常不断，佛教术语，指远离常见和断见二边，而取“不常不断”的中道。 常见和断见，是凡夫最容易犯的一对边见。佛陀认为常见和断见都不是佛法的正见，所以，佛陀讲法，就要引领凡夫远离常见和断见，而契入中道。
初时不常不断,初时教法说的常见，是指认为众生生命主体之我为永远存续者，断见是指认为死后全归灭无。初时教法讲十二缘起、四谛无我，对治常见和断见。正确理解十二缘起之理，因而远离常见与断见的偏颇看法，即远离断常之二边见。
二时不常不断,二时教法的不常不断分为两个层次。第一个层次，权变中观境界，以二谛模式讲不常不断，既不常也不断。“既不常也不断”，不是安立了一个在“常”与“断”之外的一个第三种状态，所谓“不常不断”。实际上“既不常也不断”仍就属于二边见，是佛陀用来替代、对治“常、断”这对凡夫根深蒂固的原有的“二边见”的。第二个层次，究竟中观境界。泯灭二边立足于空性讲不常不断，因不常故不断。因为没有常，所以没有断；二边双泯，彻底远离了二边见。“因不常故不断”，这是佛陀的见解，是二时教法究竟中观中不常不断的见解，这就是在破增益。
三时不常不断,三时教法中，对二时教法的这种凡夫境界因不常故不断的“无生无常”，依然认同。同时对不常不断还有其独到的理解，在三时教法当中，增益就是常见，损减就是断见。既能领受凡夫境界根本无生，又能亲见圣者证悟的真如真实不虚，就是不增益凡夫境界、不损减圣者境界，这是三时教法的不常不断。三时教法的不常不断，既破增益，又补损减。
常见,常见，佛教术语，梵文nityadṛṣṭi 或 śāśvatadṛṣṭi，指一种错误见解，不是佛法的正见。二见之一，为“断见”之对称。  
初时常见,在佛陀初时教法中，外道自以为存在的五蕴之身今世虽灭，未来复生，相续不断，就是常见。
二时常见,在佛陀二时教法中，按照龙树论师在《中论颂》第十五品第十颂中对常见的定义：“定有则着常，定无则著断。”叶少勇教授译为：“认为存在则执常，说不存在是断见。”只要认为凡夫境界有事物存在，就是常见。
三时常见,三时教法是立足于圣者境界而说法，它要表诠直陈圣者证悟的真实性——真如。认为凡夫心外有事物存在是常见。换句话，在三时教法中，增益就是常见。
断见,断见，佛教术语，梵文uccheda-dṛṣṭi，又称断灭见、破坏断灭论，指一种错误见解，非佛法的正见。二见之一，为‘常见’之对称。  
初时断见,初时教法中，断见是指坚持人活着的时候真实存在、而人死之后身心断灭，不复再生的偏见，是五恶见之一。偏执世间及我曾经存在过、但世间及我终归断灭的邪见，就称为断见。
二时断见,二时教法中，按照龙树论师在《中论颂》第十五品第十一颂中对断见的定义：“先有而今无，是则为断灭”叶少勇教授译为：“认为先前曾出现，而今不存则成断。”就是认为凡夫境界原先有事物存在，后来这个存在变为了不存在，从有变无了，这就是断见。
三时断见,三时教法是立足于圣者境界而说法，它要表诠直陈圣者证悟的真实性——真如。不承认有圣者证悟的真实性是断见。换句话，在三时教法中，损减就是断见。
凡夫境界,凡夫境界，佛教术语，梵文pṛthag-jana-gocara（梵文不确定），在佛法体系里，准确地理解凡夫境界，要从两个层次理解，第一个层次，就是二时教法中指的凡夫自以为的真实世界，如五蕴、十二处、十八界等，就是三时教法中的遍计所执自性，即凡夫误以为的心外的存在，就是生了翳病的眼睛显现了似毛的影，而无明凡夫非执为心外的毛，这个毛就是遍计所执自性，就是凡夫境界。第二个层次，就是立足圣者的角度回看凡夫境界，指圣者能见的凡夫心所行境界，简称凡夫境界。也就是立足于圣者境界回看凡夫境界，只是一场虚妄分别，就是没有毛却误执为心外有毛的错误认识。除此之外，什么都没有。所谓凡夫境界，不过就是圣者能见的凡夫心的显现，重要的是，不是显现出了心外事物，只是显现出了心外没有事物，却误以为心外有事物的错觉——唯识无境。这就是佛陀的唯心的法义，这是究竟了义的佛法。
圣者境界,圣者境界，佛教术语，指圣者证悟的真实境界，佛教不同的教理体系，对圣者的定义不同，小乘的圣者境界指小乘初果须陀洹到四果阿罗汉亲证的境界，大乘的圣者境界指从登地见道到证道成佛亲证的境界，大乘的圣者境界是离能所的，是凡夫的言说无法诠表的，是破除了一切的言说真实，才能彰显的离言真实，圣者境界也是佛陀说法的立足点之一。
见道,见道，佛教术语，梵文是darśana-mārga，自编就是见到了通向成佛的道路了。大乘佛法，把一个众生从凡夫到最后成佛，这个整个的历程分成了五个阶段，分别起名叫做资粮位、加行位、见道位、修道位和证道位。资粮位，准备资粮，也就是准备工作。加行位，就是通过资粮位的修行，资粮具足了，准备冲刺了，见道位之前的那一段冲刺的过程，就叫加行位。见道位就是见道了，这个道就是道路，就是见到了通向成佛的道路了。见道位之后叫修道位，见到了通向成佛的道路之后，那么就要在这个成佛的大道上努力地修行，这就是修道位。最后叫证道位，就是沿着这条大道修行到最后的终点，就是成佛。
解脱,解脱，宗教术语，梵文mokṣa，即解开、放开，脱离束缚而得自在的意思，也做涅槃的别名。在印度宗教中，解脱，意即“解放”，是印度宗教的重要神学与哲学概念，指生命个体脱离生死轮回及其带来的各种苦，印度教、耆那教与佛教皆继承了这个观念，但各自持有不同的见解。引自：中印百科的——ZY解脱
两重空,两重空，净名精舍术语，是指性空和空性。佛教讲空，是在不同层次上说空，性空与空性有着不同的法义。
两重因果,两重因果，净名精舍术语，指世俗因果和胜义因果，没有世俗因果，只有胜义因果，世俗因果要空，胜义因果要转。世俗因果是假因果，圣者认为不存在而凡夫误以为存在，佛陀在二时教法讲“万法皆空”，属于万法的世俗因果必须空。二时教法和三时教法对世俗因果的解构，都是完全彻底、不留死角的。三时教法更殊胜的是，建立了胜义因果——圣者能见的藏识缘起，胜义因果是真因果。胜义因果不能空，但是得转。
胜义因果,胜义因果，净名精舍术语，指初地以上圣者才能见的心识上的种子与kṛ的相互缘起，这就是胜义因果，也就是“藏识缘起”。从三时教法的甚深法义上理解，万法皆空，胜义因果不空。。胜义因果，不是圣者的因果，而是立足于圣者境界表达的凡夫因果，就是那个凡夫的错觉的因果，也就是胜义因果是依据圣者能见的阿赖耶识而建立的因果。
世俗因果,世俗因果，佛教术语，在三时教法里可以给这个凡夫认为毛应该有因的这个因果关系，起名叫“世俗因果”。二时教法里凡夫境界上，虽然没有常一不变的独立存在性，但是在凡夫境界上存在的因果的相似相续性，这是佛陀二时教法中四重二谛第二重二谛世俗谛上的缘生性。
两重无相,两重无相，净名精舍术语，佛陀三时教法讲无相，是两重无相，就是无外相和无似相，第一重是无外相，无nimitta；第二重是无似相，就是无ābhāsa。两重无相分别对应不同的修行阶段，是大乘佛法修行的次第，证无外相，见道登初地；证无似相，就从第七地登上第八地，分清和领受两重无相的法义是极其极其重要的，因为两种无常、两重无相和两重无生，是打开大乘佛法宝库的三把钥匙。
两重无生,两重无生，净名精舍术语，无生，梵文anutpanna，无生就是没有生灭，两重无生，皆是圣者证悟的境界。佛法讲无生是两重无生。第一重无生是凡夫执著的境界无生，是凡夫境界“从来无，何须生”。第二重无生是佛陀亲证的真如无生，佛证真如“本来有，不需生”。无生是进入大乘佛法的门槛，不能理解、领受无生，永远在大乘佛法门外徘徊。学佛修行，从大乘佛法来讲，就是证这两重无生。
唯识三大误区,"唯识三大误区，净名精舍术语，指千百年来唯识学人对唯识存在着理解上的三大误区。分别是：
第一、 唯识唯的是第六意识。—错！唯识唯的是阿赖耶识，是了别识。
第二、 阿赖耶识是轮回的主体。—错！阿赖耶识不是轮回的主体，佛说阿赖耶识恰恰是解构轮回。
第三、 阿赖耶识显现出了世界。—错！只是显现出了凡夫误以为有世界的“错觉”（虚妄分别）"
说通,说通，佛教术语，梵文naya，指佛陀说的法。
宗通,宗通，佛教术语，梵文siddhānta，指佛陀自证的法。
见道位,见道位，佛教术语，梵文是darśana-mārga，就是见道了，这个道就是道路，就是见到了通向成佛的道路了。
识（vijñāna）,识，佛教术语，梵文vijñāna，本意指精神活动、认识活动。vijñāna这个词来自于动词词根jñā，意思是知道、了知、了解，词头vi在这里表达的含义是分离、分开。因此表示凡夫心的这个识vijñāna，它一定是一种分离的认知模式。
智（jñāna）,智，佛教术语，梵文jñāna、prajñā，指能见到真正真实性的能力。jñāna这个词来自于动词词根jñā，意思是知道、了知、了解，从广义上讲，以修行的五位三阶段来说， jñāna是指从见道位之后登初地的菩萨一直到成佛的智。从狭义上讲，jñāna只是指从初地到七地修行的第二阶段的智。《楞伽经》中用prajñā指代登八地到成佛这个修行第三阶段的智，译为“慧”。
攀缘真如,攀缘真如，佛教术语，梵文tathatālambanaṃ，佛陀证悟的真正的真实性，八地以上的菩萨修行就是亲证真如，《楞伽经》里叫攀缘真如。
四种大修行,四种大修行，净名精舍术语，指菩萨们成就了这四种法，就成为大修行者。第一，观察自心所现。第二，远离生住灭见。第三，善知外法无性。第四，专求自证圣智。菩萨们成就了这四种法，就成为大修行者。
上修,上修，佛教术语，指八地菩萨到成佛的修行。这个阶段不仅没有外相（nimitta），也没有似相（ābhāsa，）这就是完全彻底地扫清了亲证佛陀证悟的真正的真实性的障碍。
中修,中修，佛教术语，指初地到七地菩萨的修行。这个阶段的修行的对象就是似相（ābhāsa），以似相（ābhāsa）为对境，坚决不对似相（ābhāsa）起外相（nimitta）的分别。
下修,下修，佛教术语，指资粮位、加行位凡夫的修行。这一阶段要对治的就是外相（nimitta），以外相（nimitta）为对境，通过以两种观察，做五种思维，而不断了知心外之境，不过是圣者能见的凡夫心的显现，领受只有似相（ābhāsa）其实没有外相（nimitta）。
八苦,八苦，印度哲学术语，梵文aṣṭavidhaṃ duḥkham，八苦是四谛中苦谛的内容，指生、老、病、死、爱别离、怨憎会、求不得、五蕴炽盛，这八种。 印度学者普遍认为欲界众生有八种痛苦，因为欲界众生以为生死很真实，而且真实的生生死死之中的痛苦也很真实，这是印度普遍的观点，佛教将这八种痛苦称之为八苦（“八苦法”）。
见真如,见真如，净名精舍术语，真如是圣者能见能证的真实性，登初地菩萨能见真如，登初地见真如的前提是经过资粮位和加行位的修行，证得无外相，就是证得凡夫境界其实只是影根本没有毛，就是证得只是ābhāsa没有nimitta。
证真如,证真如，净名精舍术语，佛陀证悟的真正的真实性，八地以上的菩萨修行就是亲证真如，登八地证真如的前提是经过从初地到七地的修行，转染成净，对ābhāsa的显现坚决不做分别，以清净种子完全替代了杂染种子，以至于连ābhāsa的显现都没有了，证得无似相，这就彻底清除了证真如的障碍了，因此登八地证真如。
无分别,无分别，佛教术语，梵文nirvikalpa，无分别与分别相对，分别指凡夫能所分离的认知模式，就是凡夫能认识的心与被认识的物的分离，相反，无分别就是指圣者能所不分离的认知模式，无分别不是对心外的事物不做判断，而是能所不分离。
学佛入门三问,学佛入门三问，净名精舍术语，指学佛者入门的三个问题。这三个问题是：1、是否相信轮回；2、是否认同轮回苦而寻求解脱；3、如何解脱。对这三个问题的回答，是判断一个人是否真正佛教徒的基本标准。
六度,六度，佛教术语，梵文ṣaṭ-pāramitā，指大乘佛教菩萨道修行的六个根本法门，分别是布施度、持戒度、忍辱度、精进度、禅定度、般若度。
安立名言,安立名言，佛教术语，梵文prajñapti，就是假施设、假安立，也译作“假名”，凡夫误以为心外有事物，因此就生起言说来诠表这个误以为有的心外事物，而且追寻这个所谓的事物的产生来源的戏论。
能所分离,能所分离，佛教术语，是凡夫的认知模式，凡夫的特点就是认为心外有物，凡夫的认知模式的特点就是“能所分离”，以为心外有物的能所分离就是分别。
似相,似相，佛教术语，梵文ābhāsa，就是“似显现”，用个比喻就是生翳病的眼睛显现的那个似毛的影，这个影就是ābhāsa。阿赖耶识杂染种子在相续生灭的等流过程中，突然有的种子显现了一下，显现出了“似毛的影”，这个影在梵文里有一个词来表达它，叫ābhāsa，这个词往往翻译成影相，就是这个影的相，是似外之相，准确的翻译应该是“似相”。
显现,显现，佛教术语，梵文dṛśya，表示境界只是显现，不是产生，经文中常译为现，三时教法的核心就表达为“境界自心现”，直译是境界是自心的显现。
现行,现行，佛教术语，梵文adhyācāratā，就是阿赖耶识杂染种子在相续生灭的等流过程中，突然有的种子显现了一下，这个显现了一下的状态就叫现行。
八识,八识，佛教术语，梵文aṣṭa-vijñānāni，是对“藏识”的最常见的、习惯表达。三时教法中的“识”广说有八个，所以叫八识。在佛陀三时教法中，识只有一个，就是藏识。只是为了表达阿赖耶识的种种不同功能，才把这唯一的识分成几份来描述。把识分为八份，就是八识。分别是眼识、耳识、鼻识、舌识、身识、意识、末那识、阿赖耶识。
分别事识,分别事识，佛教术语，分别事，梵文是vastuprativikalpa，这是一个复合词，分别事识就是非要执凡夫心外有事物的识，这其实就是识的杂染种子的现行。
末那识,末那识，佛教术语，梵文mano 或者 manas，在阿赖耶识的八分法里被叫作第七识，只有在第七识的驱动下产生虚妄分别，才有杂染种子在藏识中的熏习，没有第七识的驱动，前六识是转不起来的。
有无相待,有无相待，佛教术语，梵文bhāva-abhāvapakṣa，指凡夫境界的“有”与“非有”（无）是相依相待的，即循环定义。
唯识(vijñānamātra ),唯识，佛教术语，梵文vijñānamātra，就是只有心识，没有外境，唯识无境。
唯了别(vijñaptimātra),唯了别，佛教术语，梵文vijñaptimātra，意为立足于圣者境界回看凡夫境界，只是虚妄分别，除此之外，什么都没有。
唯识无境,唯识无境，佛教术语，vijñapti-mātratā-anartha，就是只有心识，没有外境。
三自性,三自性，佛教术语，梵文tri-svabhāva，即三时教法中讲的三种存在，分别是遍计所执自性、依他起自性和圆成实自性。
三时教法,三时教法，佛教术语，梵文 tri-dharmacakra，指佛陀立足圣者境界向凡夫说的一类法，佛陀三时教法的纲领是“五法三自性，八识二无我”四个道理。
三时判教体系,三时判教体系，净名精舍术语，是佛陀教法的纵向教理体系。在佛教史上，梳理佛教理论体系内部结构的这项工作叫作“判教”。《解深密经》把佛陀整个教法分为初时教法、二时教法和三时教法。初时教法是小乘、声闻乘。二时和三时教法是大乘、菩萨乘。
破增益,破增益，净名精舍术语，指佛陀在解构凡夫自以为的真实世界。破增益是佛陀教法的横向体系的第一部分，属于净名精舍弘法六要点之二。
补损减,补损减，净名精舍术语，指佛陀给那些通过破增益教理的学习，已经从心底里彻底认同了佛陀关于凡夫境界一切的存在都是不真实的、都是根本不存在的道理，认同了这段教理的思想见解的人，讲佛陀证悟的真实是什么。补损减是佛法横向教理体系的后一部分，属于净名精舍弘法六要点之二。
横向教理体系,横向教理体系，佛教术语，佛陀教法的横向教理体系，就是破增益和补损减，而对凡夫而言，破增益是重头戏。
纵向教理体系,"纵向教理体系，净名术语，净名弘法六要点的第一条，就是严格依据《解深密经》三时纵向判教体系。

在佛教史上，梳理佛教理论体系内部结构的工作叫作“判教”，《解深密经》中，就有佛陀印可的判教，称为“三时判教”，也就是在《解深密经》里边，把佛陀一生的、完整的教法分成了三个相对独立的理论体系、三个相对独立的名言系统，分别起名叫作初时教法、二时教法和三时教法。也就是《解深密经》把佛陀的显教的教理分成三套名言系统，叫做“三时判教”。另外一个名字叫做“三转法轮”，也就是“初时教法”，也称为佛陀的第一转法轮，“二时教法”也被称为佛陀的第二转法轮，“三时教法”也被称为佛陀的第三转法轮。三时判教是《解深密经》中的经中判教，因此，《解深密经》三时判教的权威性是不言而喻的。既然有经中三时判教，在学习佛法时，特别是在为其他众生宣讲佛法时，就应该严格遵循三时判教的原则。遵循判教原则的具体体现之一，就是对于分属三时教法的不同教理的内容，不可以混讲。如果把分属初时、二时或三时教理体系的不同法义混起来讲授，就完全丧失了判教的意义。"
依他起自性,依他起自性，佛教术语，梵文paratantra-svabhāva，也译为“缘起自性”或“缘起性”，分杂染和清净两部分，杂染部分是藏识，清净部分是正智， 三时教法的依他起自性，是立足于圣者境界，安立阿赖耶识的种子与种子现行的kṛ之间的依他而起，是圣者才能见的心识上的种子与kṛ的相互缘起，是胜义因果，是“藏识缘起”，千万不要把三时教法的“依他起自性”，理解为二时教法的凡夫境界中的万事万物的“因缘和合”而生起，依他起自性是佛陀三时教法的四根支柱性道理之一的三自性中的核心 。
缘生缘起,"缘生缘起，净名精舍术语，佛陀在二时教法中讲的“缘起”。

二时教法中佛说“缘生缘起”以阐述甚深“缘起无生”之理。对“缘生缘起”的解读可基于四重二谛的“渐法”及究竟中观的“顿法”两条脉络。二时教法之渐法——“四重二谛”的前两重“二谛”归结为“缘生性空”，即佛说凡夫境界一切的“存在”都不过是种种条件临时聚合而生起的存在，进而解构了凡夫境界上一切“存在”的“常一不变性”和“独立存在性”，即无自性；“四重二谛”的后两重二谛归结为“缘起无生”，进一步揭示无自性其实就是不存在，只是明明不存在而凡夫误以为存在，并且安立名言强化了凡夫的错误认识,而“名言”亦空，凡夫境界一切的存在都是以根本不存在为基本特征（空性）。通过构建“四重二谛”的方便善巧，平滑解构，次第消融，阐释“缘生”即“无生”，以实现破增益之功效。二时教法之顿法——“究竟中观”，系龙树菩萨于《中论》中所使用的归谬论证法，通过揭示“缘生”与“自性”的矛盾以解构凡夫境界，同样揭示了“缘起无生”之理，即凡夫境界一切法无生。无论是二时教法中的“渐法”还是“顿法”，佛说“缘生”，目的都是为了解构凡夫自以为的真实世界。"
藏识缘起,藏识缘起，佛教术语，梵文ālaya-vijñāna pratītya-samutpāda，在三时教法中，佛说藏识缘起，就是立足于圣者境界，安立阿赖耶识，构建眼翳执毛模型，清晰表述阿赖耶识杂染种子现行，不是现出了心外的事物，只是显现出了心外没有事物，而非要误以为心外有事物的错觉（即虚妄分别），虚妄分别真的由缘生起了，而且虚妄分别这个kṛ又成为缘，在阿赖耶识熏习下杂染种子，也就是以kṛ为缘生起了种子，又以杂染种子为缘，现行出虚妄分别的kṛ，kṛ熏习种子，种子现行kṛ，所以 kṛ与种子互为缘起，这两者“此有故彼有，此生故彼生，此无故彼无，此灭故彼灭”，因此起名叫“缘起”，这就是藏识缘起，这就是胜义因果，从这个意义上说，十二缘起和缘生缘起，只是缘起的方便说，藏识缘起才是缘起的究竟说，讲的再直接一点，佛说缘起就是要说藏识缘起，藏识缘起不是在给心外世界的存在找存在依据，相反，是在破除无明凡夫增益上去的外境的存在，唯识无境。
圆成实自性,"圆成实自性，佛教术语，梵文pariniṣpanna-svabhāva，就是立足于圣者境界而说法的三时教法中圣者证悟的真实性——真如、如来藏心，是圣者的自证圣智所行真如，也就是圣者认为的真实存在，但凡夫见不到，是佛陀三时教法的纲领“五法、三自性、八识、二无我”四个道理中的五法之一，三自性之一，是三时教法的补损减部分，如果不承认有圣者证悟的真实性，就会落入佛陀三时教法的损减断见。

自性，梵文svabhāva，在佛教里自性就等同于存在，存在就是有自性，无自性就是不存在，不存在着无自性的存在，这一点非常重要。因此佛陀三时教法里讲遍计所执自性、依他起自性和圆成实自性，这三个自性就是三种存在。

佛陀证悟的真实性，在立足于圣者境界而说法的三时教法中，表诠、直陈，给它起名真如、如来藏心，还有圆成实自性，这是圣者认为的真实存在，但凡夫见不到，这是在事上定义圆成实自性。在有的经典里是在理上定义圆成实自性，遍计所执自性根本不存在这个道理，就是圆成实自性，这是对圆成实自性的一种遮诠定义。圆成实自性在理上的定义是方便说，事上的定义才是究竟说。"
法我执,"法我执，佛教术语，梵文dharmâtma-grahā，指一种执著，执著以为有“法”的自性。因此要理解什么是法我执，首先要理解什么是“法”。 “法我执”，在二时教法里，当一个凡夫执着了内在主观精神的我的存在的时候，即人我存在的时候，就一定会攀缘着主观内在精神世界之外的一个世界。内在主观精神的世界，一定要依托着主观内在精神世界之外的一个外在客观的物质世界而存在。比如说，对人而言，内在主观精神的我，人我，要依托着一个肉体而存在，而这个肉体要依托于这个世界、这个地球而存在。所以当我们凡夫执着于有一个内在主观精神的我—人我—的存在的时候，就一定会产生第二个执着，就会认为在内在主观精神的我之外，一定有一个外在客观物质世界作为它攀缘和生存的依托对象。这个外在客观物质的世界，佛教就称为“法我”；对这个世界的执着，就叫“法我执”。

”法我执“，在三时教法里，“法我执”是阿赖耶识杂染种子现行产生的分别功能之一。因为阿赖耶识杂染种子现行，产生误以为心外有物的虚妄分别，从而进入能所分离的认知模式。也就是因为分别，产生能取、所取这一对二边见。分别有心外事物叫所取、分别能分别心外事物的能力叫能取。三时教法认为对所取的分别就是法我执、如果知道心外事物根本不存在——无所取，存在的只是心外事物不存在而凡夫非误以为心外事物存在的虚妄分别，即所取分别（法我执），因此也就没有了基于所取而有的能取，即二取平舍，从而达到圣者的无分别智。"
人我执,人我执，佛教术语，梵文是ātmagrāha，指一种执著，执著以为有“人我”的自性。人我，是佛教术语，其中，“人”，梵文是pudgala，音译为“补特伽罗”，这是印度某些外道认为的众生六道轮回之中的轮回主体。“我”，梵文ātman，其基本含义是指常一不变、独立存在的本体，在哲学上一般指生命现象中的主体。“人我”，就是印度思想家们所坚持认为的在生死轮回的背后的那个常一不变、独立存在的轮回的精神主体。这个轮回的精神主体，除了人我，还有各种名称，比如众生、寿者、命者、生者、养育、众数、作者等等，这些不同命名，都是在表达对生命轮回现象背后那个常一不变、独立存在的精神主体的追寻。对人我的执著，佛教叫做人我执。（自编+引用）“人我” 作为一个凡夫 ，会认为自己内在的主观的精神世界，这是一个真实的存在。这个存在而且是不变的、独立的。也就是我从一生下来，我是个婴儿，后来是个少年，到青年、到壮年、到老年，以至于死去。在这几十年人生当中，我的肉体可以变，我什么什么都可以变，但是内在的有个主观的精神的那个世界，总没有变。上幼儿园的是我，上中学的是我，读大学的是我，现在工作挣钱的是我，有一天死了，还是我死了。我们死死地执着的这个内在主观精神的这个世界的真实的存在，佛教把这个存在叫“人我”。我们对“人我”的那种执着，佛教就叫作“人我执”。
二时教法,"二时教法，佛教术语，指佛陀立足凡夫境界向凡夫说的法，主要讲“二谛无生 实相离言”，说一切法“皆无自性、无生无灭、本来寂静、自性涅槃。根据《解深密经》中佛陀印可的判教，叫做三时判教，就是把佛陀一生的教法分成了三个层次、三个角度、三套不同的名言系统，分别起名叫做佛陀的“初时教法”、“二时教法”和“三时教法”。净名修学六要点将此“三时判教”列为首条重要纲领，称为佛陀教理体系的“纵向判教”。初时教法是声闻乘、是小乘，而二时教法跟三时教法是菩萨乘，即大乘。二时教法的代表性经典是“般若经”，《金刚般若波罗蜜经》、《心经》等都是“般若经”中选出而来。

佛陀二时教法主要讲“二谛无生、实相离言”，以“二谛”的模式解构凡夫误以为的真实。具体地讲，通过权便中观的“四重二谛”把凡夫境界一步一步解构，从而引导凡夫趣向圣者境界。但权便中观不是真正的中观。只有究竟中观才是中观。“究竟中观”是通过彻底地泯灭“二”，而达到远离凡夫“二边见”的中观。权便中观是“破增益”，究竟中观是“补损减”，这两部分合起来是完整的佛陀的二时教法体系。因此二时教法修行分为渐修模式和顿悟模式；渐修模式在本体论上对凡夫境界次第消融而证空性，这就是四重二谛的权便中观的修法，适合于钝根众生；而顿悟模式是在认识论上对凡夫境界直接归谬而证空性，这就是龙树《中论颂》里展现的修法，适合于利根众生。因此，佛陀的“二时教法”不但讲“人法皆空”，进而还讲“一切法无生”。"
